


                                                                 Optimization Report
                                                             EA31337-Advanced-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.01.01 23:42 - 2019.12.30 23:59 (2019.01.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
       Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
          3   -0.20            1          0.00           -0.20       1.20       0.00 RSI1_OpenCondition1=195; MaxOrders=0; MaxOrdersPerType=0;
          7   -0.20            1          0.00           -0.20       1.20       0.00 RSI1_OpenCondition1=583; MaxOrders=0; MaxOrdersPerType=0;
          8    0.00            0          0.00            0.00       0.00       0.00 RSI1_OpenCondition1=680; MaxOrders=0; MaxOrdersPerType=0;
          9    0.00            0          0.00            0.00       0.00       0.00 RSI1_OpenCondition1=777; MaxOrders=0; MaxOrdersPerType=0;
         10    0.00            0          0.00            0.00       0.00       0.00 RSI1_OpenCondition1=874; MaxOrders=0; MaxOrdersPerType=0;
         11    0.00            0          0.00            0.00       0.00       0.00 RSI1_OpenCondition1=971; MaxOrders=0; MaxOrdersPerType=0;
          2    0.80            5          1.11            0.16       8.60       0.01  RSI1_OpenCondition1=98; MaxOrders=0; MaxOrdersPerType=0;
          6    0.80            5          1.11            0.16       8.60       0.01 RSI1_OpenCondition1=486; MaxOrders=0; MaxOrdersPerType=0;
          5 -237.89          647          0.81           -0.37     357.15       0.36 RSI1_OpenCondition1=389; MaxOrders=0; MaxOrdersPerType=0;
          1 -245.59          679          0.81           -0.36     351.55       0.35   RSI1_OpenCondition1=1; MaxOrders=0; MaxOrdersPerType=0;
          4 -970.32         1156          0.46           -0.84     970.32       0.97 RSI1_OpenCondition1=292; MaxOrders=0; MaxOrdersPerType=0;
